category,name,description,status,price_ars,price_cents,source_page,raw_line
BAÑO DE MOLDEO,LODISER PINS SEMIAMARGOS (CÓD. BAM01P) ALPINO - CAJA 6 KG,,priced,58800.0,5880000,1,"LODISER PINS SEMIAMARGOS (CÓD. BAM01P) ALPINO - CAJA 6 KG $58.800,00"
BAÑO DE MOLDEO,LODISER PINS SEMIAMARGOS (CÓD. BAM03P) ALPINO - BOLSA 1KG,,priced,9800.0,980000,1,"LODISER PINS SEMIAMARGOS (CÓD. BAM03P) ALPINO - BOLSA 1KG $9.800,00"
BAÑO DE MOLDEO,MAPSA MAPSA CUBER FRUTILLA,,priced,32000.0,3200000,1,"MAPSA MAPSA CUBER FRUTILLA $32.000,00"
BAÑO DE REPOSTERÍA,CHOCOLATES INDUSTRIALES BLANCO ESPECIAL (CÓD. EMEB) - CAJA 5 KG,,priced,45000.0,4500000,1,"CHOCOLATES INDUSTRIALES BLANCO ESPECIAL (CÓD. EMEB) - CAJA 5 KG $45.000,00"
BAÑO DE REPOSTERÍA,CHOCOLATES INDUSTRIALES SEMIAMARGO SABOR ALFAJOR (CÓD. EMJO) - CAJA 5 KG,,priced,45000.0,4500000,2,"CHOCOLATES INDUSTRIALES SEMIAMARGO SABOR ALFAJOR (CÓD. EMJO) - CAJA 5 KG $45.000,00"
BAÑO DE REPOSTERÍA,GHELCO BAÑ0 BLANCO 36.00/6 - BLISTER 5 KG,,priced,44500.0,4450000,2,"GHELCO BAÑ0 BLANCO 36.00/6 - BLISTER 5 KG $44.500,00"
BAÑO DE REPOSTERÍA,GHELCO BAÑ0 BLANCO 36.00/6 CILINDRO - 1 UN,,priced,8900.0,890000,2,"GHELCO BAÑ0 BLANCO 36.00/6 CILINDRO - 1 UN $8.900,00"
BAÑO DE REPOSTERÍA,GHELCO BAÑ0 CACAO DULCE 34.70/6 - BLISTER 5 KG,,priced,44500.0,4450000,2,"GHELCO BAÑ0 CACAO DULCE 34.70/6 - BLISTER 5 KG $44.500,00"
BAÑO DE REPOSTERÍA,GHELCO BAÑ0 CACAO DULCE 34.70/6 CILINDRO - 1 UN,,priced,8900.0,890000,2,"GHELCO BAÑ0 CACAO DULCE 34.70/6 CILINDRO - 1 UN $8.900,00"
BAÑO DE REPOSTERÍA,LODISER BAÑ0 BLANCO (CÓD. BAR03P) ALPINO - CAJA 6 KG,,sin_stock,,,2,LODISER BAÑ0 BLANCO (CÓD. BAR03P) ALPINO - CAJA 6 KG SIN STOCK
BAÑO DE REPOSTERÍA,LODISER BAÑ0 SEMIAMARGO (CÓD. BAR01P) ALPINO - CAJA 6 KG,,priced,62000.0,6200000,2,"LODISER BAÑ0 SEMIAMARGO (CÓD. BAR01P) ALPINO - CAJA 6 KG $62.000,00"
BAÑO DE REPOSTERÍA,LODISER BAÑ0 SEMIAMARGO (CÓD. BAR01P) ALPINO - 6 paquetes x 1KG,,sin_stock,,,2,LODISER BAÑ0 SEMIAMARGO (CÓD. BAR01P) ALPINO - 6 paquetes x 1KG SIN STOCK
BAÑO DE REPOSTERÍA,LODISER CHIPS SEMIAMARGOS (CÓD. GOT1 J) ALPINO - BOLSA 1 KG,,priced,7500.0,750000,2,"LODISER CHIPS SEMIAMARGOS (CÓD. GOT1 J) ALPINO - BOLSA 1 KG $7.500,00"
BAÑO DE REPOSTERÍA,MAPSA BAÑ0 BLANCO BOMBONITOS - CAJA 3 X 1 KG,,priced,33000.0,3300000,2,"MAPSA BAÑ0 BLANCO BOMBONITOS - CAJA 3 X 1 KG $33.000,00"
BAÑO DE REPOSTERÍA,MAPSA BAÑ0 BLANCO BOMBONITOS - BOLSA 1 KG,,priced,11000.0,1100000,2,"MAPSA BAÑ0 BLANCO BOMBONITOS - BOLSA 1 KG $11.000,00"
BAÑO DE REPOSTERÍA,MAPSA BAÑ0 NEGRO BOMBONITOS - CAJA 3 X 1 KG,,priced,33000.0,3300000,2,"MAPSA BAÑ0 NEGRO BOMBONITOS - CAJA 3 X 1 KG $33.000,00"
BAÑO DE REPOSTERÍA,MAPSA BAñ0 NEGRO BOMBONITOS - BOLSA 1 KG,,priced,11000.0,1100000,2,"MAPSA BAñ0 NEGRO BOMBONITOS - BOLSA 1 KG $11.000,00"
BAÑO DE REPOSTERÍA,MAPSA BAÑO DE REPOSTERIA BLANCO MAPSA - CAJA 5 KG,,priced,36000.0,3600000,2,"MAPSA BAÑO DE REPOSTERIA BLANCO MAPSA - CAJA 5 KG $36.000,00"
CACAO EN POLVO,EMETH CACAO EN POLVO AMARGO EMETH - BOLSA 1 KG,,priced,24800.0,2480000,2,"EMETH CACAO EN POLVO AMARGO EMETH - BOLSA 1 KG $24.800,00"
CACAO EN POLVO,VARIOS CACAO EN POLVO ALCALINO - FRACCIONADO POR Kg,,priced,20000.0,2000000,2,"VARIOS CACAO EN POLVO ALCALINO - FRACCIONADO POR Kg $20.000,00"
